Order	Family	Scientific Name	Common Name
Artiodactyla	Antilocapridae	Antilocapra americana	(Pronghorn)
Artiodactyla	Bovidae	Bison bison	(American Bison)
Artiodactyla	Bovidae	Ovis canadensis	(Bighorn Sheep)
Artiodactyla	Bovidae	Ovis dalli	(Dall's Sheep)
Artiodactyla	Bovidae	Oreamnos americanus	(Mountain Goat)
Artiodactyla	Bovidae	Ovibos moschatus	(Muskox)
Artiodactyla	Cervidae	Rangifer tarandus	(Caribou)
Artiodactyla	Cervidae	Cervus elaphus	(Elk)
Artiodactyla	Cervidae	Alces alces	(Moose)
Artiodactyla	Cervidae	Odocoileus hemionus	(Mule Deer)
Artiodactyla	Cervidae	Mazama americana	(Red Brocket)
Artiodactyla	Cervidae	Odocoileus virginianus	(White-tailed Deer)
Artiodactyla	Tayassuidae	Pecari tajacu	(Collared Peccary)
Artiodactyla	Tayassuidae	Tayassu pecari	(White-lipped Peccary)
Carnivora	Canidae	Alopex lagopus	(Arctic Fox)
Carnivora	Canidae	Urocyon cinereoargenteus	(Common Gray Fox)
Carnivora	Canidae	Canis latrans	(Coyote)
Carnivora	Canidae	Canis lupus	(Gray Wolf)
Carnivora	Canidae	Urocyon littoralis	(Island Gray Fox)
Carnivora	Canidae	Vulpes macrotis	(Kit Fox)
Carnivora	Canidae	Vulpes vulpes	(Red Fox)
Carnivora	Canidae	Canis rufus	(Red Wolf)
Carnivora	Canidae	Vulpes velox	(Swift Fox)
Carnivora	Felidae	Lynx rufus	(Bobcat)
Carnivora	Felidae	Lynx canadensis	(Canada Lynx)
Carnivora	Felidae	Puma concolor	(Cougar)
Carnivora	Felidae	Panthera onca	(Jaguar)
Carnivora	Felidae	Puma yaguarondi	(Jaguarundi)
Carnivora	Felidae	Leopardus weidii	(Margay)
Carnivora	Felidae	Leopardus pardalis	(Ocelot)
Carnivora	Mephitidae	Spilogale putorius	(Eastern Spotted Skunk)
Carnivora	Mephitidae	Mephitis macroura	(Hooded Skunk)
Carnivora	Mephitidae	Conepatus leuconotus	(North American Hog-nosed Skunk)
Carnivora	Mephitidae	Mephitis mephitis	(Striped Skunk)
Carnivora	Mephitidae	Spilogale gracilis	(Western Spotted Skunk)
Carnivora	Mustelidae	Taxidea taxus	(American Badger)
Carnivora	Mustelidae	Martes americana	(American Marten)
Carnivora	Mustelidae	Mustela vison	(American Mink)
Carnivora	Mustelidae	Mustela nigripes	(Black-footed Ferret)
Carnivora	Mustelidae	Mustela erminea	(Ermine)
Carnivora	Mustelidae	Martes pennanti	(Fisher)
Carnivora	Mustelidae	Mustela nivalis	(Least Weasel)
Carnivora	Mustelidae	Mustela frenata	(Long-tailed Weasel)
Carnivora	Mustelidae	Lontra canadensis	(Northern River Otter)
Carnivora	Mustelidae	Enhydra lutris	(Sea Otter)
Carnivora	Mustelidae	Eira barbara	(Tayra)
Carnivora	Mustelidae	Gulo gulo	(Wolverine)
Carnivora	Odobenidae	Odobenus rosmarus	(Walrus)
Carnivora	Otariidae	Zalophus californianus	(California Sea Lion)
Carnivora	Otariidae	Arctocephalus townsendi	(Guadalupe Fur Seal)
Carnivora	Otariidae	Callorhinus ursinus	(Northern Fur Seal)
Carnivora	Otariidae	Eumetopias jubatus	(Steller Sea Lion)
Carnivora	Phocidae	Erignathus barbatus	(Bearded Seal)
Carnivora	Phocidae	Halichoerus grypus	(Gray Seal)
Carnivora	Phocidae	Phoca vitulina	(Harbor Seal)
Carnivora	Phocidae	Phoca groenlandica	(Harp Seal)
Carnivora	Phocidae	Monachus schauinslandi	(Hawaiian Monk Seal)
Carnivora	Phocidae	Cystophora cristata	(Hooded Seal)
Carnivora	Phocidae	Mirounga angustirostris	(Northern Elephant Seal)
Carnivora	Phocidae	Phoca fasciata	(Ribbon Seal)
Carnivora	Phocidae	Phoca hispida	(Ringed Seal)
Carnivora	Phocidae	Phoca largha	(Spotted Seal)
Carnivora	Procyonidae	Bassariscus sumichrasti	(Cacomistle)
Carnivora	Procyonidae	Procyon lotor	(Northern Raccoon)
Carnivora	Procyonidae	Bassariscus astutus	(Ringtail)
Carnivora	Procyonidae	Nasua narica	(White-nosed Coati)
Carnivora	Ursidae	Ursus americanus	(American Black Bear)
Carnivora	Ursidae	Ursus arctos	(Brown Bear)
Carnivora	Ursidae	Ursus maritimus	(Polar Bear)
Cetacea	Balaenidae	Balaena mysticetus	(Bowhead Whale)
Cetacea	Balaenidae	Eubalaena glacialis	(North Atlantic Right Whale)
Cetacea	Balaenidae	Eubalaena japonica	(North Pacific Right Whale)
Cetacea	Balaenopteridae	Balaenoptera musculus	(Blue Whale)
Cetacea	Balaenopteridae	Balaenoptera edeni	(Bryde's Whale)
Cetacea	Balaenopteridae	Balaenoptera physalus	(Fin Whale)
Cetacea	Balaenopteridae	Megaptera novaeangliae	(Humpback Whale)
Cetacea	Balaenopteridae	Balaenoptera acutorostrata	(Northern Minke Whale)
Cetacea	Balaenopteridae	Balaenoptera borealis	(Sei Whale)
Cetacea	Delphinidae	Stenella frontalis	(Atlantic Spotted Dolphin)
Cetacea	Delphinidae	Lagenorhynchus acutus	(Atlantic White-sided Dolphin)
Cetacea	Delphinidae	Tursiops truncatus	(Bottlenose Dolphin)
Cetacea	Delphinidae	Stenella clymene	(Clymene Dolphin)
Cetacea	Delphinidae	Pseudorca crassidens	(False Killer Whale)
Cetacea	Delphinidae	Lagenodelphis hosei	(Fraser's Dolphin)
Cetacea	Delphinidae	Orcinus orca	(Killer Whale)
Cetacea	Delphinidae	Delphinus capensis	(Long-beaked Common Dolphin)
Cetacea	Delphinidae	Globicephala melas	(Long-finned Pilot Whale)
Cetacea	Delphinidae	Peponocephala electra	(Melon-headed Whale)
Cetacea	Delphinidae	Lissodelphis borealis	(Northern Right Whale Dolphin)
Cetacea	Delphinidae	Lagenorhynchus obliquidens	(Pacific White-sided Dolphin)
Cetacea	Delphinidae	Stenella attenuata	(Pantropical Spotted Dolphin)
Cetacea	Delphinidae	Grampus griseus	(Risso's Dolphin)
Cetacea	Delphinidae	Steno bredanensis	(Rough-toothed Dolphin)
Cetacea	Delphinidae	Delphinus delphis	(Short-beaked Common Dolphin)
Cetacea	Delphinidae	Globicephala macrorhynchus	(Short-finned Pilot Whale)
